"","year","continent","region","Fatalities (Average % of country population per 1000)","Conflicts (Average % of country participation in the region)","Individuals using the Internet (Mean % of population)","Mobile cellular subscriptions (Mean per 10 million)","International tourism, number of arrivals (Mean per 10 million)","International tourism, number of departures (Mean per 10 million)","Mortality rate, under-5 (Mean per 1,000 live births)","Population growth (Mean annual %)"
"40",2020,"America","North America",3.3,50,78.7,26.3,13.2,8.3,10.3,0.8
"41",2020,"America","South America",0.6,7.1,62.8,3.8,0.4,0.5,16.3,0.9
"42",2020,"Asia","Caucasus and Central Asia",13.6,11.1,49.1,1.4,0.6,0.6,24.9,1.4
"43",2020,"Asia","East Asia",0,16.7,57.2,39.6,5.3,6.8,9.3,0.5
"44",2020,"Asia","Middle East",8.3,6.7,76.2,2.5,1.1,1.1,14.8,1.9
"45",2020,"Asia","South Asia",0.2,20,26.5,30.9,0.5,1.4,34,1.3
"46",2020,"Asia","Southeast Asia",0.4,12.5,50.8,11.4,1.6,0.7,25.7,1.1
"47",2020,"Europe","Eastern Europe",0,7.7,78.1,3.4,2.4,2,5.7,-0.3
"48",2020,"Europe","Northern Europe",0.1,10,90.3,0.4,0.9,0.7,2.9,0.4
"49",2020,"Europe","Southern Europe",0,7.1,79.7,1.3,2.8,1.3,4.3,0.3
"50",2020,"Europe","Western Europe",0,6.7,91.4,2.9,1.7,2.9,3.7,0.7
"51",2021,"Africa","Eastern Africa",0.5,7.7,16.5,1.8,0.1,0,58.3,2.5
"52",2021,"Africa","Middle Africa",0.7,14.3,18.2,1.3,0,0,78.4,2.7
"53",2021,"Africa","Northern Africa",0.2,16.7,51.8,4,0.9,0.4,25.3,1.7
"54",2021,"Africa","Southern Africa",0,16.7,37.4,2.2,0.4,0.2,54.8,1.6
"55",2021,"Africa","Western Africa",0.2,6.7,20.6,2.5,0.1,0,80.2,2.7
"56",2021,"America","Caribbean",0.4,8.3,65.3,0.4,0.4,0.1,23.3,0.7
"57",2021,"America","Central America",0.5,14.3,50,0.8,0.2,0.1,15.3,1.3
"58",2021,"America","North America",0.5,50,78.7,26.3,13.2,8.3,10.3,0.8
"59",2021,"America","South America",0.1,8.3,61.5,4.1,0.4,0.5,17.1,0.9
"60",2021,"Asia","Caucasus and Central Asia",1.4,12.5,52.5,1.5,0.6,0.6,23.8,1.2
"61",2021,"Asia","East Asia",0,16.7,57.2,39.6,5.3,6.8,9.3,0.5
"62",2021,"Asia","Middle East",1.3,9.1,68.4,3.1,1.2,1,17.2,1.8
"63",2021,"Asia","South Asia",0,20,26.5,30.9,0.5,1.4,34,1.3
"64",2021,"Asia","Southeast Asia",0.1,16.7,52,12.8,1.7,0.8,23.4,1
"65",2021,"Europe","Eastern Europe",0,7.7,78.1,3.4,2.4,2,5.7,-0.3
"66",2021,"Europe","Northern Europe",0,11.1,89.5,0.5,0.9,0.7,2.9,0.5
"67",2021,"Europe","Southern Europe",0,8.3,80,1.5,3,1.3,4.6,0.3
"68",2021,"Europe","Western Europe",0,10,90.7,3.2,1.8,2.9,3.7,0.7
